Name,Module Name,Activity Type Name,Scheduled Start Time,Scheduled End Time,Scheduled Days,Teaching Week Pattern,Activity Dates (Individual),Size,Allocated Location Name,Scheduled
AHCP10051/Lecture A/,AHCP10051,LECTURE,10:00,11:00,Tuesday,"2-6, 8-13","28/09/2021,05/10/2021,12/10/2021,19/10/2021,26/10/2021,09/11/2021,16/11/2021,23/11/2021,30/11/2021,07/12/2021,14/12/2021",50,Kilburn_TH 1.5,Checked
AMER10501/Welcome week Lecture/,AMER10501,LECTURE,10:00,11:00,Wednesday,1,22/09/2021,60,Kilburn_TH 1.5,Checked
"BIOL21101/LEC/LEC1/Wed 09-10 <02-03, 08>",BIOL21101,LECTURE,9:00,10:00,Wednesday,"2-3, 8","29/09/2021,06/10/2021,10/11/2021",270,Kilburn_TH 1.1,Checked
"BIOL21101/LEC/LEC2/Fri 12-13 <04-06, 08-13>",BIOL21101,LECTURE,12:00,13:00,Friday,"4-6, 8-13","15/10/2021,22/10/2021,29/10/2021,12/11/2021,19/11/2021,26/11/2021,03/12/2021,10/12/2021,17/12/2021",270,Kilburn_TH 1.1,Checked
BIOL31471/LEC/LEC1/Mon 14-15,BIOL31471,LECTURE,14:00,15:00,Monday,2-7,"27/09/2021,04/10/2021,11/10/2021,18/10/2021,25/10/2021,01/11/2021",75,Kilburn_TH 1.4,Checked
BIOL31471/LEC/LEC3/Fri 13-14,BIOL31471,LECTURE,13:00,14:00,Friday,2-7,"01/10/2021,08/10/2021,15/10/2021,22/10/2021,29/10/2021,05/11/2021",75,Kilburn_TH 1.4,Checked
BIOL31482/LEC/LEC1/Mon 12-13,BIOL31482,LECTURE,12:00,13:00,Monday,21-26,"07/02/2022,14/02/2022,21/02/2022,28/02/2022,07/03/2022,14/03/2022",75,Kilburn_TH 1.4,Checked
"BIOL31551/LEC/LEC2/Tue 16-17 <03, 07>",BIOL31551,WORKSHOP,16:00,17:00,Tuesday,"3, 7","05/10/2021,02/11/2021",75,Kilburn_TH 1.4,Checked
BIOL31582/LEC/LEC1/Tue 15-16,BIOL31582,LECTURE,15:00,16:00,Tuesday,21-26,"08/02/2022,15/02/2022,22/02/2022,01/03/2022,08/03/2022,15/03/2022",75,Kilburn_TH 1.4,Checked
BIOL31582/LEC/LEC3/Fri 12-13,BIOL31582,LECTURE,12:00,13:00,Friday,21-26,"11/02/2022,18/02/2022,25/02/2022,04/03/2022,11/03/2022,18/03/2022",75,Kilburn_TH 1.4,Checked
BIOL31591/LEC/LEC1/Mon 15-16,BIOL31591,LECTURE,15:00,16:00,Monday,2-7,"27/09/2021,04/10/2021,11/10/2021,18/10/2021,25/10/2021,01/11/2021",75,Kilburn_TH 1.4,Checked
BIOL31631/LEC/LEC1/Thu 10-11,BIOL31631,LECTURE,10:00,11:00,Thursday,2-7,"30/09/2021,07/10/2021,14/10/2021,21/10/2021,28/10/2021,04/11/2021",75,Kilburn_TH 1.4,Checked
BIOL31631/LEC/LEC2/Fri 15-17,BIOL31631,LECTURE,15:00,17:00,Friday,2-7,"01/10/2021,08/10/2021,15/10/2021,22/10/2021,29/10/2021,05/11/2021",75,Kilburn_TH 1.4,Checked
BIOL31802/LEC/LEC1/Tue 13-14,BIOL31802,LECTURE,13:00,14:00,Tuesday,21-26,"08/02/2022,15/02/2022,22/02/2022,01/03/2022,08/03/2022,15/03/2022",75,Kilburn_TH 1.4,Checked
BIOL31802/LEC/LEC2/Tue 17-18 (wks 2&6 only),BIOL31802,LECTURE,17:00,18:00,Tuesday,"22, 26","15/02/2022,15/03/2022",75,Kilburn_TH 1.4,Checked
BMAN20811/LEC/LEC/01,BMAN20811,LECTURE,12:00,14:00,Thursday,"2-6, 8-13","30/09/2021,07/10/2021,14/10/2021,21/10/2021,28/10/2021,11/11/2021,18/11/2021,25/11/2021,02/12/2021,09/12/2021,16/12/2021",75,Kilburn_TH 1.4,Checked
BMAN21040/SEMESTER 1/WORKSHOP/WSP/01,BMAN21040,WORKSHOP,12:00,13:00,Thursday,"3, 6, 10","07/10/2021,28/10/2021,25/11/2021",80,Kilburn_TH 1.3,Checked
BMAN24102/LECTURE/01,BMAN24102,LECTURE,9:00,11:00,Wednesday,"21-28, 32-34","09/02/2022,16/02/2022,23/02/2022,02/03/2022,09/03/2022,16/03/2022,23/03/2022,30/03/2022,27/04/2022,04/05/2022,11/05/2022",275,Kilburn_TH 1.1,Checked
BMAN24410/LECTURE/SEMESTER 1/01,BMAN24410,LECTURE,11:00,13:00,Friday,"2-6, 8-12","01/10/2021,08/10/2021,15/10/2021,22/10/2021,29/10/2021,12/11/2021,19/11/2021,26/11/2021,03/12/2021,10/12/2021",70,Kilburn_TH 1.4,Checked
BMAN71111/LEC/Finance,BMAN71111,LECTURE,10:00,13:00,Friday,"2-6, 8-12","01/10/2021,08/10/2021,15/10/2021,22/10/2021,29/10/2021,12/11/2021,19/11/2021,26/11/2021,03/12/2021,10/12/2021",80,Kilburn_TH 1.5,Checked
CAHE20041/Lecture B/,CAHE20041,LECTURE,10:00,11:00,Friday,"2-6, 8-13","01/10/2021,08/10/2021,15/10/2021,22/10/2021,29/10/2021,12/11/2021,19/11/2021,26/11/2021,03/12/2021,10/12/2021,17/12/2021",50,Kilburn_TH 1.4,Checked
"CAHE23012/Lecture B/, CAHE33012/Lecture B/","CAHE23012, CAHE33012",LECTURE,10:00,11:00,Tuesday,"21-28, 32-35","08/02/2022,15/02/2022,22/02/2022,01/03/2022,08/03/2022,15/03/2022,22/03/2022,29/03/2022,26/04/2022,03/05/2022,10/05/2022,17/05/2022",25,Kilburn_TH 1.5,Checked
"CAHE24102/Lecture A/, CAHE34102/Lecture A/","CAHE24102, CAHE34102",LECTURE,13:00,14:00,Monday,"21-28, 32-35","07/02/2022,14/02/2022,21/02/2022,28/02/2022,07/03/2022,14/03/2022,21/03/2022,28/03/2022,25/04/2022,02/05/2022,09/05/2022,16/05/2022",40,Kilburn_TH 1.4,Checked
"CAHE25461/Lecture/, CAHE35461/Lecture/","CAHE25461, CAHE35461",LECTURE,10:00,12:00,Wednesday,"2-6, 8-13","29/09/2021,06/10/2021,13/10/2021,20/10/2021,27/10/2021,10/11/2021,17/11/2021,24/11/2021,01/12/2021,08/12/2021,15/12/2021",90,Kilburn_TH 1.1,Checked
